Compound_Name,CAS_Number,SMILES,Molecular_Formula,Molecular_Weight,LogP,Rotatable_Bonds,Primary_Target,Target_Gene,K_i_nM,K_i_Source_PMID,K_d_nM,k_off_per_min,tau_residence_min,tau_method,t_onset_min,t_onset_method,EC50_nM,EC50_Assay,t_half_plasma_h,Cmax_ng_mL,AUC_ng_h_mL,Vd_L_kg,Clearance_L_h_kg,Protein_Binding_percent,API_absolute,API_relative,API_CI_lower,API_CI_upper,AKR,EMC,NCR_percent,PARI,Arrest_Level,Confidence_Grade,Clinical_Status
Salvinorin A,83729-01-5,COC(=O)[C@]12[C@@]3([C@]([C@@H](C=C1C)OC(=O)C)(C(=O)O3)C)[C@H](O2)C[C@@H]4[C@@]5([C@@H]([C@H](C(=C4)C)O)OC(=O)C5)C,C23H28O8,432.47,2.73,3,Kappa-opioid receptor,OPRK1,1.8,12202542,1.8,0.04,25,Estimated from duration,1,Subjective onset,2,GIRK activation,0.15,2.4,15,3.2,12.5,89,6.95,1.00,0.85,1.15,1.5,-0.4,50,0.3,Level 3,VERY HIGH,Research only
Paclitaxel,33069-62-4,CC1=C2[C@@]([C@]([C@H]([C@@H]3[C@]4([C@H](OC(=O)C)[C@H](C([C@@]([C@]4(CO3)O)(C(=O)[C@@H]2OC(=O)C)O)O)OC(=O)c5ccccc5)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)O)(C)C)(C(C1)O)=O,C47H51NO14,853.91,3.2,15,Beta-tubulin,TUBB,0.9,8428871,0.9,0.00139,720,Literature k_off,360,Mitotic arrest observed,10,Spindle checkpoint,27,3890,16400,227,14.2,98,2.2,0.44,0.35,0.53,0.33,-0.2,NA,-0.3,Level 2,HIGH,FDA approved
Rapamycin,53123-88-9,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,C51H79NO13,914.18,4.3,5,mTOR Complex 1,MTOR,0.1,1909400,0.1,0.00833,120,Estimated from signaling,1440,Functional autophagy onset,1,Autophagy flux,60,15.3,268,12.4,0.23,92,0.833,0.12,0.08,0.16,0.75,-0.4,NA,0.4,Level 3,MODERATE,FDA approved
Capsaicin,404-86-4,CC(C)CCCC(C)CC(=O)NCCC1=CC(=C(C=C1)O)OC,C18H27NO3,305.41,3.0,4,TRPV1,TRPV1,700,9389475,700,0.0222,45,Estimated from desensitization,5,Acute pain onset,700,Calcium flux,NA,18.7,42,4.8,2.9,75,0.000184,0.024,0.018,0.030,0.08,NA,NA,0.05,Level 2,MODERATE-HIGH,OTC and Rx
Tetrodotoxin,4368-28-9,C(C1C2C3C(C(O2)CO)(C4(C(O3)(C5(C1(C(O4)(C(N5)N)O)O)O)CO)O)O)N=C(N)N,C11H17N3O8,319.27,-4.3,0,Voltage-gated Na channels,SCN1A-SCN11A,10,5419956,10,0.00278,360,Literature Nav residence,3,Immediate paralysis,10,Na current block,5,0.012,0.08,0.9,0.15,8,2000,4.0,3.2,4.8,0.33,NA,NA,ND,Level 2,HIGH,Phase III trials
Resveratrol,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,C14H12O3,228.25,3.1,2,SIRT1,SIRT1,50000,14570043,50000,1,1,Very rapid dissociation,720,Very slow metabolic,50000,SIRT1 deacetylation in vitro,0.25,492,1340,1.9,18.9,99,0.000002,0.00003,0.00001,0.00006,0.5,-0.1,NA,0.05,Level 1,LOW,Supplement
Ibogaine,83-74-9,CCN1C[C@@H]2[C@@H](C1)C[C@H]3[C@@H]2[C@@H]4C(=C(C=C3)OC)C=CC5=C4N=C6N5CC=C(C6)C,C20H26N2O,310.43,3.4,2,DAT/SERT/κ-opioid,SLC6A3/SLC6A4/OPRK1,2100,15707643,2100,0.0083,120,Estimated from addiction reset,45,Subjective onset clinical,180,DAT blockade,8,125,1500,18.5,2.8,72,0.0132,0.19,0.14,0.24,0.6,-0.35,42,0.65,Level 3,MODERATE,Phase II trials
Noribogaine,29661-20-5,C[C@@H]1C=Cc2c([nH]c3ccc(cc23)OC)[C@@H]4C[C@@H]5C[C@H]4C[C@@H](N5CC1)C,C19H24N2O,296.41,3.1,2,DAT/κ-opioid/NMDA,SLC6A3/OPRK1/GRIN1,1800,22230299,1800,0.00043,2340,Literature metabolite kinetics,90,Sustained anti-craving,150,DAT blockade κ-opioid partial agonism,38,180,8200,22.4,0.89,68,0.984,0.14,0.10,0.18,2.4,-0.30,38,0.80,Level 3,HIGH,Active metabolite
Psilocybin,520-52-5,CN(C)CCc1c[nH]c2ccc(cc12)OP(=O)(O)O,C12H17N2O4P,284.25,-1.3,4,5-HT2A,HTR2A,6.0,28012622,6.0,0.015,67,Literature serotonin receptor,15,Perceptual changes onset,10,5-HT2A signaling,2.5,8.5,28,0.6,1.2,65,-55.8,-0.89,-1.05,-0.73,0.22,0.52,-28,0.15,Oscillation High,HIGH,Phase II FDA Breakthrough
LSD,50-37-3,CCN(CC)C(=O)[C@H]1CN([C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1)C,C20H25N3O,323.43,2.5,2,5-HT2A,HTR2A,1.2,28380168,1.2,0.0033,303,Literature 5-HT2A residence,25,Perceptual onset,2,5-HT2A signaling cAMP,4.5,1.8,22,25.0,1.8,85,-62.5,-1.04,-1.20,-0.88,0.28,0.58,-32,0.12,Oscillation High,MODERATE-HIGH,Schedule I research
