Experiment_ID,Section_Reference,Entity_Type,File_Source,Description,Status,Sample_Size,Power_Calculation,Statistical_Analysis,Primary_Outcome,Secondary_Outcomes,Success_Criteria,Falsification_Criteria,Estimated_Cost_USD,Estimated_Duration_Months,IRB_Required,Special_Licenses,Contact_Email,Version,Last_Updated
Exp1_Neuroimaging,Section 4.2.1,Human neuroimaging study,v6.txt lines 1000-1050,Salvinorin A vs psilocybin entropy comparison via fMRI,Proposed,36,α=0.05 β=0.20 d=1.2,Between-subjects t-test on EMC_neural,Entropy Modulation Coefficient difference,Network connectivity (NCR_DMN) & subjective effects,Salvinorin EMC<-0.2 AND psilocybin EMC>+0.2,Salvinorin and psilocybin EMC indistinguishable (p>0.05),450000,18,Yes,DEA Schedule I research license,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Exp2_Cellular_Oscillation,Section 4.2.2,In vitro cellular lifespan,v6.txt lines 1051-1100,Oscillatory vs continuous rapamycin on IMR-90 fibroblasts,Proposed,12 flasks per arm,Power 80% for 20% lifespan difference,One-way ANOVA with Tukey post-hoc,Cumulative population doublings (CPD),PARI stress resistance & senescence markers,Oscillatory 48h cycle CPD > continuous by ≥15%,Continuous rapamycin equals or exceeds oscillatory in ≥2 replicates,35000,24,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Exp3_Clinical_TRD,Section 4.2.3,Clinical pilot trial,v6.txt lines 1101-1150,Intermittent nalfurafine for treatment-resistant depression,Proposed,20,Phase IIa exploratory design,Paired t-test (MADRS baseline vs Day 14),MADRS reduction ≥30%,BDNF levels & dysphoria tolerability,≥50% response rate with ≤20% discontinuation,<30% response in two cohorts OR unacceptable adverse events,250000,12,Yes,"IND application, DSMB required",tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Data_Compound_Properties,Section 2,Database CSV,Compound_Properties_Database.csv,Pharmacological and physicochemical data for 10 compounds spanning arrest-oscillation continuum,Complete,10 compounds,N/A,Descriptive statistics,API calculation inputs,Structural features & PK parameters,All parameters sourced from literature (PMID cited),N/A,0,Complete,No,None,tommy.lepesteur@hotmail.fr,1.1,2025-10-21
Data_Confidence_Matrix,Section 2.4,Database CSV,Confidence_Grading_Matrix.csv,Confidence grading for 44 quantitative predictions,Complete,44 predictions,N/A,Categorical stratification,Evidence type & confidence level,Validation requirements & PMID sources,Transparent confidence assessment per prediction,N/A,0,Complete,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Code_API_Monte_Carlo,Section 2.3,Python script,Python_Code_API_Monte_Carlo.py,API calculation with uncertainty quantification via Monte Carlo,Complete,6 compounds,10000 iterations per compound,Monte Carlo simulation,API with 95% CI,Sensitivity analysis & distribution plots,Reproducible results (seed=42) with documented variance,N/A,0,Complete,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Figures_S1_Structures,Supplementary Materials,Molecular structure diagram,Figures_Supplementaires.txt specs,2D structures with pharmacophore highlights for 6 compounds,Draft,6 structures,N/A,Visual comparison,Structural rigidity & H-bond features,Lipophilic regions & metabolic sites,Clear visualization conforming to journal standards,N/A,0,Draft,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Figures_S2_Oscillatory,Supplementary Materials,Multi-panel graph,R_Code_Figures_S2.R output,3-panel oscillatory advantage illustration (molecular/cellular/clinical),Draft,3 panels,N/A,Visualization of model predictions,Temporal dynamics comparison,Lifespan & resilience outcomes,Publication-quality 300 dpi TIFF,N/A,0,Draft,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21
Figures_S3_API_Flowchart,Supplementary Materials,Process flowchart,Figures_Supplementaires.txt specs,API calculation workflow with inputs/outputs,Draft,1 flowchart,N/A,Process diagram,Calculation logic transparency,Parameter dependencies,Clear algorithmic representation,N/A,0,Draft,No,None,tommy.lepesteur@hotmail.fr,1.0,2025-10-21

